id;booking_number;flight_number;passenger_id;invoice_number;invoice_set;state
1;31557;Rubber collaboration RAM;Vision-oriented Cambridgeshire;44635;false;OPEN
2;96711;payment calculate;Corporate Human Saint Vincent and the Grenadines;37349;true;CANCELLED
3;43848;leading edge monitor;Interactions;46497;false;CANCELLED
4;29391;Direct Bolivar Fuerte;solution COM;82993;true;CANCELLED
5;5007;Ergonomic Austria;Personal Loan Account;76006;true;CONFIRMED
6;31263;iterate;USB;58490;true;CANCELLED
7;70330;Kids Chips;Cotton Home Loan Account Outdoors;14909;true;CANCELLED
8;2968;compress Barbados;multi-byte Gloves productivity;37750;true;CANCELLED
9;23562;application generating;streamline Integration;32814;false;OPEN
10;46078;Legacy turquoise;Liaison deliver;59656;false;CONFIRMED
