id;flight_number;flight_type;fare_type;pilot;price;origin_id;destination_id;airline_id;plane_id
1;Courts;ONE_WAY;BUSINESS;Fish;20742;1;1;1;1
2;Turks and Caicos Islands;ONE_WAY;ECONOMY;Associate responsive;28816;2;2;2;2
3;Quality Associate Clothing;RETURN_TRIP;ECONOMY;hacking digital;32392;3;3;3;3
4;Somali Shilling Lakes;RETURN_TRIP;BUSINESS;New Zealand Consultant;63349;4;4;4;4
5;redundant Sleek Concrete Bike;ONE_WAY;ECONOMY;Intelligent Steel Gloves;25615;5;5;5;5
6;Nepal Dynamic;RETURN_TRIP;ECONOMY;Product;54992;6;6;6;6
7;solid state Balanced Grocery;RETURN_TRIP;BUSINESS;reintermediate infomediaries Money Market Account;67185;7;7;7;7
8;Analyst Gorgeous Granite Tuna Intelligent Cotton Chicken;ONE_WAY;BUSINESS;Credit Card Account orchid;88665;8;8;8;8
9;Delaware;ONE_WAY;BUSINESS;Fresh;46518;9;9;9;9
10;Chicken;RETURN_TRIP;BUSINESS;Wooden Awesome Soft Chicken;73730;10;10;10;10
