id;airport_code;airport_name;country_name;city_name;postal_code
1;matrix Triple-buffered;Dynamic budgetary management;Security models;Administrator Steel interface;Monitored Borders
2;Auto Loan Account unleash Bacon;Kentucky Berkshire;optical;withdrawal;Cotton robust virtual
3;Handmade Generic Rubber Bacon Oklahoma;Officer;Chair;Soap reinvent;extensible payment Intelligent
4;Small Crossroad withdrawal;JSON neural;Squares facilitate;redundant quantify;Concrete
5;Internal Checking Account;Steel;Metal;Licensed;Chicken
6;Dominica Uruguay Tasty Plastic Keyboard;Riel optimize Points;Agent;Handcrafted Wells;Unbranded Concrete Bike Human
7;Automotive bandwidth;Solutions;redundant Cambodia compress;SSL International;Practical Plastic Chicken Maldives
8;Dynamic Multi-channelled Metal;Factors Incredible Metal Shirt;Consultant Iowa gold;IB;withdrawal
9;Ergonomic Computers haptic;deposit;hacking;supply-chains Guarani;alliance
10;Djibouti;Pants Graphical User Interface Investment Account;Vermont New Israeli Sheqel;driver reinvent;alarm Licensed Concrete Chicken
